RE/2324/0104,TAO,TBC,13-01-2024,TS MC CROUGET,SLUB JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,FRONT+BACK+SLEEVE,WHISPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0104,TAO,TBC,13-01-2024,TS MC CROUGET,SLUB JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,PLACKET,WHISPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0104,TAO,TBC,13-01-2024,TS MC CROUGET,SLUB JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,WHISPER WHITE,,
,,,,,,,,,,,,,,
RE/2324/0105,TAO,TBC,13-01-2024,TS MC CVIOLETTE,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,FRONT+BACK+SLEEVE,CYCLAMEN,,
,,,,,,,,,,,,,,
RE/2324/0105,TAO,TBC,13-01-2024,TS MC CVIOLETTE,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,CYCLAMEN,,
,,,,,,,,,,,,,,
RE/2324/0105,TAO,TBC,13-01-2024,TS MC CVIOLETTE,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,PLACKET,CYCLAMEN,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,FRONT,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,BACK,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,SLEEVE,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,PLACKET,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0106,TAO,TBC,13-01-2024,TS MC CPARTY,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,235 - 245,PIECES,NECK RIB,YUCCA 13-5409 TCX,,
,,,,,,,,,,,,,,
RE/2324/0107,TAO,TBC,13-01-2024,TS MC CBANANIER,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Melange,155 - 165,PIECES,BACK BODY+SLEEVE,MIXED ECRU,,
,,,,,,,,,,,,,,
RE/2324/0107,TAO,TBC,13-01-2024,TS MC CBANANIER,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Melange,155 - 165,PIECES,FRONT,MIXED ECRU,,
,,,,,,,,,,,,,,
RE/2324/0107,TAO,TBC,13-01-2024,TS MC CBANANIER,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Melange,155 - 165,PIECES,PLACKET,MIXED ECRU,,
,,,,,,,,,,,,,,
RE/2324/0107,TAO,TBC,13-01-2024,TS MC CBANANIER,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Melange,155 - 165,PIECES,NECK TAPE,MIXED ECRU,,
,,,,,,,,,,,,,,
RE/2324/0107,TAO,TBC,13-01-2024,TS MC CBANANIER,FLAT KNIT COLLAR,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Melange,235 - 245,PIECES,NECK RIB,MIXED ECRU,,
,,,,,,,,,,,,,,
RE/2324/0125,TAO,1018480,25-01-2024,TS MC CBICEPS,SLUB JERSEY,100% ORGANIC COTTON SLUB,Main Fabric,Solid,175 - 185,PIECES,FRONT,ASHLEY BLUE (16-4013TCX),,
